Fecha	Comida del día	Formato	Hora inicio	Hora fin	Cocinero	Ayudante/s	Tipo comida	Comida
23/08/2021	Almuerzo	Cocina			Mamá		Carne	Milanesa con papas al horno
23/08/2021	Cena	Cocina	19:45	20:14	Yo	Hermana	Arróz	Arróz con mejillones y langostinos
24/08/2021	Almuerzo	Cocina	13:31	13:56	Yo		Pasta	Tallarines
24/08/2021	Cena	Cocina			Hermana		Verdura	Ensalada con pollo
25/08/2021	Almuerzo	Cocina	13:12	13:36	Yo	Mamá	Pollo	Nuggets con croquetas
25/08/2021	Cena	Delivery					Pizza	Pizza
26/08/2021	Almuerzo	Cocina	13:08	13:28	Yo		Pasta	Ravioles
26/08/2021	Cena	Cocina			Mamá	Hermana	Pescado	Pescado con ensalada
27/08/2021	Almuerzo	Cocina			Hermana	Papá	Milanesa soja	Milanesas de soja con arróz
27/08/2021	Cena	Delivery					Pescado	Sushi
28/08/2021	Almuerzo	Cocina	13:20	13:38	Yo	Mamá	Carne	Panchos con ensalada
28/08/2021	Cena	Cocina			Mamá		Pasta	Ñoquis
29/08/2021	Almuerzo	Cocina			Papá	Mamá	Carne	Asado
29/08/2021	Cena	Cocina			Mamá		Verdura	Tarta de verdura
30/08/2021	Almuerzo	Hecha					Carne	Matambre con ensalada
